GEOID,NAME,inc_n,fem_n,sexf_n,inc_pct,gi_z,gi,lisa,lisa_sig,streetlight_n,poor_pave_ft,street_ft,sidewalk_n,dist_subway_km,vacant_n,aband_n,poverty_rate,renter_share,vacancy_rate,female_pop,total_pop
36005037600,Census Tract 376; Bronx County; New York,88,28,0,4.160756501182033,1.1704984882470337,Not significant,Not significant,Not significant,31,6356.679311374799,45870.0695761326,12,0.3923850113982767,2,1,0.23782505910165486,0.6571056062581486,0.050742574257425746,951,2115
36005021502,Census Tract 215.02; Bronx County; New York,379,149,0,6.078588612670409,1.205344330862692,Not significant,Not significant,Not significant,76,17180.52728448578,59025.65156328329,16,0.41591708405900746,3,0,0.4673048839850722,0.966838931955211,0.011914893617021277,3091,6235
36005028800,Census Tract 288; Bronx County; New York,127,45,0,4.905368868288915,0.0341220209449802,Not significant,Not significant,Not significant,145,16389.43294815358,145344.87466247746,31,0.6170268293100901,16,1,0.09192738509076864,0.4894837476099426,0.028783658310120707,1455,2589
36005039200,Census Tract 392; Bronx County; New York,196,82,0,12.327044025157234,1.1213047017837412,Not significant,Not significant,Not significant,54,7538.69406452913,44962.57233492502,8,0.1894921458808911,6,12,0.1926489226869455,0.6987381703470031,0.11944444444444445,779,1590
36005026601,Census Tract 266.01; Bronx County; New York,134,50,0,4.16925948973242,0.98238138743267,Not significant,Not significant,Not significant,133,3738.408551805711,62901.711355234314,22,0.15160537007476582,8,0,0.3074051026757934,0.8614285714285714,0.0364762560220234,1705,3214
36005039800,Census Tract 398; Bronx County; New York,107,47,0,3.022598870056497,0.7338523625807695,Not significant,Not significant,Not significant,30,747.0213877291944,63643.87355724382,10,0.7836613627402579,12,5,0.47666476949345477,0.5811350919264588,0.09347826086956522,1673,3540
36005002701,Census Tract 27.01; Bronx County; New York,132,43,0,4.243008678881389,3.3472746015106756,Hot 99%,Low-High,p <= 0.01,12,3802.4028789156805,33680.966496818044,15,0.2015018835068585,1,1,0.4674018812844632,0.9757727652464494,0.025244299674267102,1598,3111
36005036902,Census Tract 369.02; Bronx County; New York,91,48,0,3.634185303514377,1.8001789549771758,Hot 95%,Low-High,p <= 0.05,8,1631.8379798612182,16344.016396675988,2,0.7332118251357549,2,0,0.3761980830670926,0.9658823529411765,0.02186421173762946,1487,2504
36005016900,Census Tract 169; Bronx County; New York,172,79,0,8.847736625514404,1.006316685165491,Not significant,Not significant,Not significant,37,9427.662642650395,47717.317907123834,10,0.9173175274644293,4,0,0.5199579831932774,0.8945634266886326,0.04409448818897638,954,1944
36047005000,Census Tract 50; Kings County; New York,42,16,0,1.6380655226209049,-1.5151293559151682,Cold 95%,Low-Low,p <= 0.05,53,2827.7561775052163,73691.26157545003,15,0.772467200986975,0,1,0.10257410296411856,0.4546304957904584,0.063922942206655,1326,2564
36047005202,Census Tract 52.02; Kings County; New York,35,6,0,1.3054830287206267,-1.3181342482979432,Not significant,Not significant,Not significant,40,4786.763652134856,38446.30806640405,13,0.7210075002369,1,0,0.03886397608370702,0.47593582887700536,0.08669108669108669,1274,2681
36047006000,Census Tract 60; Kings County; New York,86,25,0,3.0791263873970642,-1.2158922019087264,Not significant,Not significant,Not significant,39,3113.6577472463364,63418.54228351064,25,0.2801211847263304,2,0,0.03258145363408521,0.7048503611971104,0.12307692307692308,1493,2793
36047016900,Census Tract 169; Kings County; New York,59,25,0,1.2515910055154857,-1.6655233013617707,Cold 99%,Low-Low,p <= 0.01,113,5539.721912571569,76334.06436902733,73,0.19553977265831518,4,9,0.1480248557478917,0.6264339152119701,0.06700791065611912,2419,4714
36047022600,Census Tract 226; Kings County; New York,56,12,0,1.969057665260197,-1.3275014117918869,Not significant,Not significant,Not significant,37,14057.59325184533,60520.37636917573,19,0.6079660758749478,14,2,0.1111111111111111,0.565377532228361,0.20497803806734993,1402,2844
36047017600,Census Tract 176; Kings County; New York,52,12,0,2.3339317773788153,-1.477415419403278,Cold 95%,Low-Low,p <= 0.05,62,913.082510619728,48835.55299927751,17,0.8456917756051575,0,0,0.08662477558348294,0.5322195704057279,0.0989247311827957,1109,2228
36047018100,Census Tract 181; Kings County; New York,162,67,0,4.148527528809219,0.4240798616805694,Not significant,Not significant,Not significant,80,7486.078462871753,83141.95486859602,128,0.2280248167751601,1,10,0.07900154400411734,0.8053753475440223,0.10120783007080383,1852,3905
36047018501,Census Tract 185.01; Kings County; New York,119,56,0,2.5965524765437484,-0.8874616982529956,Not significant,Not significant,Not significant,39,17848.898032902835,37401.05700720944,11,0.7952193702982755,3,3,0.2299803622081606,0.8685282140779523,0.05601317957166392,2765,4583
