term,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_effect,pct_low,pct_high
yrs_us_sq,-1.8374163839328346e-4,1.4017715518111629e-4,-1.3107816188442372,0.19005855214368192,-4.5862419596010955e-4,9.114091917354264e-5,-0.01837247589322466,-0.04585190439592157,0.009114507263330296
origin_regionAsia,0.08138310174603645,0.05958495820920589,1.3658329919490109,0.17212098578091115,-0.03546094237724885,0.19822714586932177,8.478640053565222,-3.4839569634181444,21.92393075429713
origin_regionAfrica,0.14177474273188181,0.07376321524133622,1.9220249858690075,0.05472237755322065,-0.0028723735096543856,0.286421858973418,15.231705150901508,-0.2868252191797316,33.16541070095762
origin_regionEurope,0.3072845998616474,0.07203454587818629,4.2657949198608085,2.070108121945174e-5,0.1660273445080434,0.4485418552152514,35.972789137997395,18.060538435532614,56.60270257078377
origin_regionNorthern America,-0.02543603706773479,0.6187186038931531,-0.04111083278841791,0.9672110014215236,-1.2387218398262523,1.1878497656907825,-2.511526654229568,-71.0245666195377,228.00208060727041
origin_regionOceania,-0.9748658317203697,0.32905894371265537,-2.9625872517589227,0.003081009386579407,-1.620139049892785,-0.3295926135479543,-62.27570357925802,-80.21288167961907,-28.078332711328848
SEX2,-0.22106290968242942,0.04758838367337859,-4.645312419091346,3.581441569250952e-6,-0.3143820856758934,-0.12774373368896547,-19.83337538651452,-26.976003937995262,-11.992111518211212
married_bin,0.029539775769152593,0.05879536317378853,0.502416758305214,0.6154210705156328,-0.08575589977369492,0.1448354513120001,2.99804029198687,-8.218175648073778,15.58493611232199
soc_groupCLN (Building/Grounds Cleaning),-0.9318057309604906,0.16172572319605816,-5.761642072429465,9.411185898166915e-9,-1.2489442858058795,-0.6146671761151017,-60.61581046122003,-71.31925762434332,-45.917913654038344
soc_groupCMM (Computer/Math),-0.017400640853800966,0.14095525736844713,-0.123447973340341,0.9017628380390967,-0.2938090299230961,0.2590077482154942,-1.7250123997130662,-25.458116945700393,29.56438437168614
soc_groupCMS (Community/Social Service),-0.5374622636969241,0.22077859627766405,-2.4343947862635207,0.0149900874763379,-0.9704014621162792,-0.10452306527756894,-41.577100816193656,-62.10691188306578,-9.92459789742387
soc_groupCON (Construction),-0.5130525668764196,0.16042794414900421,-3.1980249425866885,0.0014019659668773519,-0.8276462218545662,-0.19845891189827308,-40.13346791873601,-56.292314153397946,-18.00065379769723
soc_groupEAT (Food Preparation/Serving),-1.0415188999559144,0.14178589342342768,-7.345715958113936,2.800779285300042e-13,-1.3195561376268612,-0.7634816622849676,-64.70817728283525,-73.27461004065047,-53.395899831797976
soc_groupEDU (Education/Training/Library),-0.5636410544948329,0.14511727964116855,-3.8840381785583906,1.0554841846266509e-4,-0.8482110254245786,-0.27907108356508725,-43.086695773321246,-57.18197492410272,-24.35138724270991
soc_groupENG (Architecture/Engineering),-0.05360505991186292,0.12761393055565323,-0.420056491312956,0.6744822635202454,-0.30385156810336944,0.19664144827964358,-5.21936406797,-26.20296033328643,21.730749475198774
soc_groupENT (Arts/Design/Entertainment/Media),-0.6754897871138782,0.3039433031381143,-2.2224203663632958,0.02634896229958223,-1.2715121019765576,-0.07946747225119877,-49.10928965850546,-71.95927033796862,-7.639193762895847
soc_groupFFF (Farming/Fishing/Forestry),-0.10595140600470987,0.19532959136392022,-0.5424237324456943,0.5875776331182455,-0.4889859851643712,0.27708317315495146,-10.053164422500627,-38.67520784974784,31.927609482691754
