term,estimate,std.error,statistic,p.value,conf.low,conf.high,pct_effect,pct_low,pct_high
origin_regionAfrica,0.14177474273187998,0.07376321524133614,1.9220249858689848,0.0547223775532235,-0.002872373509656051,0.286421858973416,15.231705150901288,-0.2868252191798981,33.16541070095735
origin_regionEurope,0.30728459986164813,0.0720345458781861,4.26579491986083,2.0701081219449776e-5,0.16602734450804452,0.44854185521525175,35.97278913799749,18.06053843553275,56.60270257078381
origin_regionNorthern America,-0.02543603706773493,0.618718603893152,-0.041110832788418206,0.9672110014215234,-1.23872183982625,1.1878497656907803,-2.511526654229579,-71.02456661953764,228.0020806072697
origin_regionOceania,-0.9748658317203756,0.3290589437126568,-2.9625872517589276,0.003081009386579359,-1.620139049892794,-0.3295926135479573,-62.27570357925825,-80.21288167961926,-28.078332711329058
SEX2,-0.2210629096824287,0.047588383673378636,-4.645312419091327,3.5814415692512868e-6,-0.3143820856758927,-0.1277437336889647,-19.83337538651446,-26.97600393799521,-11.992111518211146
married_bin,0.02953977576915159,0.058795363173788695,0.5024167583051956,0.6154210705156457,-0.08575589977369626,0.14483545131199943,2.998040291986759,-8.218175648073899,15.584936112321902
soc_groupCLN (Building/Grounds Cleaning),-0.931805730960484,0.16172572319606593,-5.761642072429148,9.4111858981844e-9,-1.2489442858058881,-0.6146671761150799,-60.61581046121978,-71.31925762434356,-45.917913654037164
soc_groupCMM (Computer/Math),-0.01740064085379618,0.14095525736845374,-0.12344797334030128,0.9017628380391282,-0.29380902992310426,0.2590077482155119,-1.7250123997125888,-25.458116945701004,29.564384371688448
soc_groupCMS (Community/Social Service),-0.5374622636969186,0.22077859627766844,-2.4343947862634474,0.01499008747634094,-0.9704014621162824,-0.1045230652775549,-41.57710081619334,-62.1069118830659,-9.924597897422604
soc_groupCON (Construction),-0.5130525668764144,0.16042794414901843,-3.1980249425863727,0.0014019659668788819,-0.8276462218545888,-0.19845891189824,-40.1334679187357,-56.292314153398934,-18.000653797694522
soc_groupEAT (Food Preparation/Serving),-1.0415188999559095,0.14178589342343617,-7.345715958113461,2.800779285309747e-13,-1.319556137626873,-0.7634816622849461,-64.7081772828351,-73.27461004065078,-53.39589983179698
soc_groupEDU (Education/Training/Library),-0.5636410544948269,0.14511727964117388,-3.8840381785582068,1.0554841846274446e-4,-0.848211025424583,-0.2790710835650708,-43.086695773320905,-57.18197492410291,-24.351387242708668
soc_groupENG (Architecture/Engineering),-0.053605059911860424,0.12761393055566067,-0.42005649131291195,0.6744822635202776,-0.30385156810338154,0.19664144827966068,-5.219364067969767,-26.20296033328733,21.73074947520086
soc_groupENT (Arts/Design/Entertainment/Media),-0.6754897871138738,0.3039433031381183,-2.222420366363252,0.026348962299585214,-1.271512101976561,-0.07946747225118644,-49.109289658505226,-71.95927033796872,-7.639193762894713
soc_groupFFF (Farming/Fishing/Forestry),-0.10595140600470437,0.19532959136393133,-0.5424237324456354,0.587577633118286,-0.48898598516438746,0.2770831731549787,-10.053164422500128,-38.67520784974884,31.92760948269533
soc_groupFIN (Financial Specialists),0.1432038524108741,0.17090884576548387,0.8378960829644491,0.4021735591563389,-0.1919424884754847,0.47835019329723294,15.3965016241292,-17.464566548720917,61.341038996885324
soc_groupHLS (Healthcare Support),-0.7276022792850337,0.13437048765483667,-5.414896470079483,6.750400047025876e-8,-0.9910981624789803,-0.4641063960910872,-51.69341403707437,-62.88311365866242,-37.13033399585992
soc_groupLGL (Legal),0.5255869947675419,0.24926777439165396,2.1085236390875393,0.035090411088291966,0.036781502494298124,1.0143924870407857,69.14514301694929,3.7466312269949897,175.76875574519715
soc_groupMED (Healthcare Practitioners),0.10677001984690809,0.12175486687571893,0.87692609409933,0.3806156600248878,-0.13198706692492188,0.3455271066187381,11.267833111887393,-12.364767106345266,41.273438508899595
soc_groupMGR (Management),-0.2208884197336494,0.16579125557873994,-1.3323285294063167,0.1828803465805977,-0.5459993430992753,0.10422250363197658,-19.819385895814577,-42.073738810131346,10.984737251585685
soc_groupOFF (Office/Admin Support),-0.6459953985726019,0.1282441124089333,-5.037232403408196,5.079159511834374e-7,-0.8974776716028086,-0.3945131255423953,-47.585944640250965,-59.24035436464585,-32.59918832876363
soc_groupPRD (Production),-0.5093850368758456,0.13574661218405867,-3.752469609961028,1.7930560510346006e-4,-0.7755794527203816,-0.24319062103130956,-39.91350249796651,-53.95630977309538,-21.587797062533774
soc_groupPRS (Personal Care/Service),-1.0780826765648566,0.14855865371300142,-7.256949693739086,5.339990008938641e-13,-1.3694010631347067,-0.7867642899950065,-65.97527352976442,-74.57408008349888,-54.468431617177075
soc_groupPRT (Protective Service),-0.5619901263599589,0.17512717545737333,-3.2090400869666835,0.0013495724334538182,-0.9054084660100854,-0.21857178670983246,-42.99265839500672,-59.56233227635056,-19.63342151486711
soc_groupRPR (Installation/Maintenance/Repair),-0.5017589127614328,0.1516674677642056,-3.30828304947708,9.527343920371333e-4,-0.7991735762623602,-0.20434424926050543,-39.45352371203607,-55.029954627805225,-18.481830281727753
soc_groupSAL (Sales),-0.7253637914673763,0.1383189288143221,-5.244139740563615,1.7091799695581753e-7,-0.9966024313388937,-0.45412515159585887,-51.585159214536866,-63.086853745827234,-36.499674339822185
soc_groupSCI (Life/Physical/Social Science),-0.353679502924703,0.20666295948374505,-1.7113831322662418,0.08714125180482102,-0.7589384253491323,0.051579419499726276,-29.79000477187649,-53.18368465566685,5.293280636828412
soc_groupTRN (Transportation/Material Moving),-0.8194192169497084,0.12881119599529073,-6.3613974749498174,2.3915894051097207e-10,-1.0720135212975053,-0.5668249126019117,-55.93124759590995,-65.76814426785596,-43.26761150055376
cow_factorPrivate nonprofit employee,0.15115134003298372,0.06524237126488126,2.316766498558363,0.020601321600998822,0.02321330439626887,0.2790893756696986,16.31726793536108,2.3484830078995156,32.19254865655727
cow_factorLocal government employee,0.33830669256391654,0.09611814590830527,3.519696404533793,4.4018587297550634e-4,0.14982232974660353,0.5267910553812296,40.257059542092136,16.162783768053444,69.34892668097454
cow_factorState government employee,0.07994495020813826,0.15316629109459634,0.5219487240750892,0.6017548085040297,-0.22040885405268196,0.38029875446895844,8.322743458876602,-19.78092480343846,46.27215187542508
cow_factorFederal government employee,0.5119886692787604,0.13901942244921872,3.6828571163556703,2.3579296031972199e-4,0.23937638559437724,0.7846009529631436,66.86062035208036,27.045662817792525,119.15322417745537
